player_id,player,pos,team,url
PierDa01,Dameon Pierce,RB,HOU,https://www.pro-football-reference.com/req/20180910/images/headshots/PierDa01_2022.jpg
DrisJe00,Jeff Driskel,QB,HOU,https://www.pro-football-reference.com/req/20180910/images/headshots/DrisJe00_2022.jpg
CookBr00,Brandin Cooks,WR,HOU,https://www.pro-football-reference.com/req/20180910/images/headshots/CookBr00_2022.jpg
HowaO.00,O.J. Howard,TE,HOU,https://www.pro-football-reference.com/req/20180910/images/headshots/HowaO.00_2022.jpg
MoorCh00,Chris Moore,WR,HOU,https://www.pro-football-reference.com/req/20180910/images/headshots/MoorCh00_2022.jpg
CollNi00,Nico Collins,WR,HOU,https://www.pro-football-reference.com/req/20180910/images/headshots/CollNi00_2022.jpg
BrowPh01,Pharaoh Brown,TE,CLE,https://b.fssta.com/uploads/application/nfl/headshots/13610.vresize.350.350.medium.18.png
StraMi03,Mike Strachan,WR,IND,https://www.pro-football-reference.com/req/20180910/images/headshots/StraMi03_2022.jpg
AlieMo00,Mo Alie-Cox,TE,IND,https://www.pro-football-reference.com/req/20180910/images/headshots/AlieMo00_2022.jpg
GranKy00,Kylen Granson,TE,IND,https://www.pro-football-reference.com/req/20180910/images/headshots/GranKy00_2022.jpg
ConlCh00,Chris Conley,WR,TEN,https://www.pro-football-reference.com/req/20180910/images/headshots/ConlCh00_2022.jpg
JordBr00,Brevin Jordan,TE,HOU,https://www.pro-football-reference.com/req/20180910/images/headshots/JordBr00_2022.jpg
HairTr00,Troy Hairston,FB,HOU,https://www.pro-football-reference.com/req/20180910/images/headshots/HairTr00_2022.jpg
DorsPh00,Phillip Dorsett,WR,HOU,https://www.pro-football-reference.com/req/20180910/images/headshots/DorsPh00_2022.jpg
WilsCe01,Cedrick Wilson Jr.,WR,MIA,https://www.pro-football-reference.com/req/20180910/images/headshots/WilsCe01_2022.jpg
SherTr00,Trent Sherfield,WR,MIA,https://www.pro-football-reference.com/req/20180910/images/headshots/SherTr00_2022.jpg
HillTy00,Tyreek Hill,WR,MIA,https://www.pro-football-reference.com/req/20180910/images/headshots/HillTy00_2022.jpg
IngoAl01,Alec Ingold,FB,MIA,https://www.pro-football-reference.com/req/20180910/images/headshots/IngoAl01_2022.jpg
