Off_abbrev,Def_abbrev,fga,fgm,xpa,xpm,fga_0_39,fgm_0_39,fga_40_49,fgm_40_49,fga_50,fgm_50,player,vis_team,home_team,week
FA,0,0,0,2,2,0,0,0,0,0,0,Matt Gay,SFO,LAR,8
NYG,SEA,2,2,1,1,1,1,1,1,0,0,Graham Gano,NYG,SEA,8
SEA,NYG,2,2,3,3,1,1,0,0,1,1,Jason Myers,NYG,SEA,8
CIN,CLE,1,0,2,1,0,0,1,0,0,0,Evan McPherson,CIN,CLE,8
CLE,CIN,2,1,3,3,0,0,0,0,2,1,Cade York,CIN,CLE,8
HOU,PHI,1,1,2,2,1,1,0,0,0,0,Ka'imi Fairbairn,PHI,HOU,9
FA,0,0,0,3,3,0,0,0,0,0,0,Jake Elliott,PHI,HOU,9
LAC,ATL,2,2,2,2,2,2,0,0,0,0,Cameron Dicker,LAC,ATL,9
ATL,LAC,2,1,2,2,1,1,0,0,1,0,Younghoe Koo,LAC,ATL,9
CHI,MIA,1,1,3,3,1,1,0,0,0,0,Cairo Santos,MIA,CHI,9
MIA,CHI,1,0,5,5,1,0,0,0,0,0,Jason Sanders,MIA,CHI,9
FA,0,0,0,3,3,0,0,0,0,0,0,Eddy Pineiro,CAR,CIN,9
CIN,CAR,1,0,6,6,0,0,1,0,0,0,Evan McPherson,CAR,CIN,9
FA,0,0,0,3,3,0,0,0,0,0,0,Matt Prater,SEA,ARI,9
SEA,ARI,1,1,4,4,0,0,0,0,0,0,Jason Myers,SEA,ARI,9
FA,0,0,0,1,1,0,0,0,0,0,0,Michael Badgley,GNB,DET,9
GNB,DET,1,1,0,0,1,1,0,0,0,0,Mason Crosby,GNB,DET,9
JAX,LVR,3,2,3,3,0,0,0,0,0,0,Riley Patterson,LVR,JAX,9
LVR,JAX,2,2,2,2,2,2,0,0,0,0,Daniel Carlson,LVR,JAX,9
KAN,TEN,3,2,1,0,0,0,0,0,0,0,Harrison Butker,TEN,KAN,9
TEN,KAN,1,1,2,2,0,0,1,1,0,0,Randy Bullock,TEN,KAN,9
NWE,IND,4,4,2,2,0,0,0,0,0,0,Nick Folk,IND,NWE,9
IND,NWE,2,1,0,0,1,0,1,1,0,0,Chase McLaughlin,IND,NWE,9
BUF,NYJ,2,1,2,2,0,0,0,0,2,1,Tyler Bass,BUF,NYJ,9
NYJ,BUF,2,2,2,2,1,1,0,0,1,1,Greg Zuerlein,BUF,NYJ,9
LAR,TAM,2,2,1,1,2,2,0,0,0,0,Matt Gay,LAR,TAM,9
TAM,LAR,4,3,1,1,0,0,0,0,0,0,Ryan Succop,LAR,TAM,9
FA,MIN,1,1,2,2,0,0,1,1,0,0,Joey Slye,MIN,ERROR - abbrev_team,9
MIN,ERROR - abbrev_team,2,2,2,2,2,2,0,0,0,0,Greg Joseph,MIN,ERROR - abbrev_team,9
BAL,NOR,2,2,3,3,1,1,1,1,0,0,Justin Tucker,BAL,NOR,9
NOR,BAL,2,2,1,1,0,0,0,0,0,0,Wil Lutz,BAL,NOR,9
ATL,CAR,1,1,2,0,1,1,0,0,0,0,Younghoe Koo,ATL,CAR,10
CAR,ATL,4,4,2,1,1,1,3,3,0,0,Eddy Pineiro,ATL,CAR,10
BUF,MIN,3,3,3,3,2,2,1,1,0,0,Tyler Bass,MIN,BUF,10
MIN,BUF,2,2,4,3,2,2,0,0,0,0,Greg Joseph,MIN,BUF,10
CHI,DET,1,1,4,3,1,1,0,0,0,0,Cairo Santos,DET,CHI,10
DET,CHI,1,1,4,4,1,1,0,0,0,0,Michael Badgley,DET,CHI,10
GNB,DAL,2,1,4,4,1,1,0,0,1,0,Mason Crosby,DAL,GNB,10
FA,0,0,0,4,4,0,0,0,0,0,0,Brett Maher,DAL,GNB,10
FA,0,0,0,4,3,0,0,0,0,0,0,Harrison Butker,JAX,KAN,10
JAX,KAN,3,1,2,2,1,1,1,0,1,0,Riley Patterson,JAX,KAN,10
MIA,CLE,2,2,5,3,2,2,0,0,0,0,Jason Sanders,CLE,MIA,10
CLE,MIA,1,1,2,2,1,1,0,0,0,0,Cade York,CLE,MIA,10
HOU,NYG,3,3,1,1,2,2,1,1,0,0,Ka'imi Fairbairn,HOU,NYG,10
NYG,HOU,1,1,3,3,0,0,0,0,0,0,Graham Gano,HOU,NYG,10
TEN,DEN,1,1,2,2,1,1,0,0,0,0,Randy Bullock,DEN,TEN,10
DEN,TEN,1,1,1,1,0,0,0,0,0,0,Brandon McManus,DEN,TEN,10
NOR,PIT,1,1,1,1,0,0,1,1,0,0,Wil Lutz,NOR,PIT,10
PIT,NOR,4,2,2,2,3,2,1,0,0,0,Matthew Wright,NOR,PIT,10
FA,0,0,0,2,2,0,0,0,0,0,0,Daniel Carlson,IND,LVR,10
IND,LVR,3,2,1,1,0,0,0,0,0,0,Chase McLaughlin,IND,LVR,10
ARI,LAR,2,2,3,3,0,0,0,0,0,0,Tristan Vizcaino,ARI,LAR,10
LAR,ARI,1,1,2,2,0,0,0,0,0,0,Matt Gay,ARI,LAR,10
LAC,SFO,3,3,1,1,2,2,1,1,0,0,Cameron Dicker,LAC,SFO,10
