player_id,pos,player,team,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_sacked,pass_sacked_yds,pass_long,pass_rating,rush_att,rush_yds,rush_td,rush_long,targets,rec,rec_yds,rec_td,rec_long,fumbles_lost,rush_scrambles,designed_rush_att,comb_pass_rush_play,comb_pass_play,comb_rush_play,Opponent_abbrev,two_point_conv,total_ret_td,offensive_fumble_recovery_td,pass_target_yds,pass_poor_throws,pass_blitzed,pass_hurried,rush_yds_before_contact,rush_yac,rush_broken_tackles,rec_air_yds,rec_yac,rec_drops,vis_team,home_team,week
TongJa00,TE,Jake Tonges,CHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYG,0,0,0,0,0,0,0,0,0,0,0.0,0,0,CHI,NYG,4
MyarCh00,TE,Chris Myarick,NYG,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,0,0,0,0,0,0,0,0,0,0,0.0,0,0,CHI,NYG,4
JohnMa07,WR,Marcus Johnson,NYG,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,0,0,0,0,0,0,0,0,0,0,0.0,0,0,CHI,NYG,4
SlayDa01,WR,Darius Slayton,NYG,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,1,11,0,11,0,0,0,0,0,0,CHI,0,0,0,0,0,0,0,0,0,0,63.0,6,0,CHI,NYG,4
BreiMa00,RB,Matt Breida,NYG,0,0,0,0,0,0,0,0,0.0,3,18,0,13,0,0,0,0,0,0,0,3,3,0,3,CHI,0,0,0,0,0,0,0,15,3,0,0.0,0,0,CHI,NYG,4
BellDa00,TE,Daniel Bellinger,NYG,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,3,23,0,12,0,0,0,0,0,0,CHI,0,0,0,0,0,0,0,0,0,0,12.9,10,0,CHI,NYG,4
HudsTa00,TE,Tanner Hudson,NYG,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,1,18,0,18,0,0,0,0,0,0,CHI,0,0,0,0,0,0,0,0,0,0,23.0,8,1,CHI,NYG,4
BrigGa00,RB,Gary Brightwell,NYG,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,CHI,0,0,0,0,0,0,0,0,0,0,0.0,0,0,CHI,NYG,4
JameRi00,WR,Richie James,NYG,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,1,9,0,9,1,0,0,0,0,0,CHI,0,0,0,0,0,0,0,0,0,0,21.9,0,0,CHI,NYG,4
SillDa01,WR,David Sills,NYG,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,1,5,0,5,0,0,0,0,0,0,CHI,0,0,0,0,0,0,0,0,0,0,13.0,1,1,CHI,NYG,4
GollKe00,WR,Kenny Golladay,NYG,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,CHI,0,0,0,0,0,0,0,0,0,0,14.0,0,0,CHI,NYG,4
StolJa00,TE,Jack Stoll,PHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JAX,0,0,0,0,0,0,0,0,0,0,0.0,0,0,JAX,PHI,4
LawrTr00,QB,Trevor Lawrence,JAX,11,23,174,2,1,4,26,45,84.3,2,7,0,7,0,0,0,0,0,4,0,2,29,27,2,PHI,0,0,0,183,5,4,8,7,0,0,0.0,0,0,JAX,PHI,4
EtieTr00,RB,Travis Etienne,JAX,0,0,0,0,0,0,0,0,0.0,8,32,0,11,1,0,0,0,0,0,0,8,8,0,8,PHI,0,0,0,0,0,0,0,17,15,0,23.0,0,0,JAX,PHI,4
RobiJa00,RB,James Robinson,JAX,0,0,0,0,0,0,0,0,0.0,8,29,0,9,0,0,0,0,0,0,0,8,8,0,8,PHI,0,0,0,0,0,0,0,22,7,0,0.0,0,0,JAX,PHI,4
KirkCh01,WR,Christian Kirk,JAX,0,0,0,0,0,0,0,0,0.0,1,3,0,3,9,2,60,0,45,0,0,1,1,0,1,PHI,0,0,0,0,0,0,0,0,3,1,78.3,12,2,JAX,PHI,4
AgneJa00,WR,Jamal Agnew,JAX,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,4,50,2,24,0,0,0,0,0,0,PHI,0,0,0,0,0,0,0,0,0,0,66.0,25,0,JAX,PHI,4
ArnoDa00,TE,Dan Arnold,JAX,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,26,0,26,0,0,0,0,0,0,PHI,0,0,0,0,0,0,0,0,0,0,4.0,22,0,JAX,PHI,4
HastJa02,RB,Jamycal Hasty,JAX,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,22,0,15,0,0,0,0,0,0,PHI,0,0,0,0,0,0,0,0,0,0,-3.0,25,0,JAX,PHI,4
EngrEv00,TE,Evan Engram,JAX,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,16,0,16,0,0,0,0,0,0,PHI,0,0,0,0,0,0,0,0,0,0,14.0,2,0,JAX,PHI,4
